Date Reported,Holder,pctHeld,Shares,Value,pctChange,ticker,date
2024-12-31,Vanguard Group Inc,0.0929,1395785512,317513282306,0.0365,AAPL,2025-03-11
2024-12-31,Blackrock Inc.,0.0748,1123417607,255555032440,0.0272,AAPL,2025-03-11
2024-12-31,State Street Corporation,0.0396,595501507,135464680268,0.0197,AAPL,2025-03-11
2024-12-31,"FMR, LLC",0.0227,341640974,77716487305,-0.061100002,AAPL,2025-03-11
2024-12-31,"Geode Capital Management, LLC",0.0226,340164913,77380712955,0.0189,AAPL,2025-03-11
2024-12-31,"Berkshire Hathaway, Inc",0.02,300000000,68243998718,0.0,AAPL,2025-03-11
2024-12-31,Morgan Stanley,0.0159,238264141,54200325776,0.0294,AAPL,2025-03-11
2024-12-31,Price (T.Rowe) Associates Inc,0.0147,220107535,50070061121,-0.0657,AAPL,2025-03-11
2024-12-31,Norges Bank Investment Management,0.0125,187160162,42575192852,0.0542,AAPL,2025-03-11
2024-12-31,JP Morgan Chase & Company,0.012200001,183008151,41630693407,0.020599999,AAPL,2025-03-11
