Date Reported,Holder,pctHeld,Shares,Value,pctChange,ticker,date
2024-12-31,Vanguard Group Inc,0.092,684071705,260056701877,0.0155,MSFT,2025-03-11
2024-12-31,Blackrock Inc.,0.0775,576226642,219058322332,0.026300002,MSFT,2025-03-11
2024-12-31,State Street Corporation,0.0397,295109622,112188874980,0.0194,MSFT,2025-03-11
2024-12-31,"FMR, LLC",0.026600001,197512226,75086248559,-0.066700004,MSFT,2025-03-11
2024-12-31,"Geode Capital Management, LLC",0.0226,168128024,63915550219,0.0188,MSFT,2025-03-11
2024-12-31,JP Morgan Chase & Company,0.0182,134943661,51300182659,-0.0211,MSFT,2025-03-11
2024-12-31,Price (T.Rowe) Associates Inc,0.0182,135151848,51379327030,-0.0037,MSFT,2025-03-11
2024-12-31,Morgan Stanley,0.016900001,125501255,47710557560,0.0117,MSFT,2025-03-11
2024-12-31,Norges Bank Investment Management,0.014199999,105202984,39993966782,0.0838,MSFT,2025-03-11
2024-12-31,Northern Trust Corporation,0.0113,83787746,31852749826,0.1607,MSFT,2025-03-11
