ticker,filing_date,transaction_date,form_type,accession_number,year_month,days_since_filing
GOOGL,2025-02-13,2024-02-14,4,0001415889-25-003895,2024-02,384
MSFT,2025-02-03,2025-01-31,4,0001062993-25-001524,2025-01,32
MSFT,2025-02-03,2025-01-31,4,0001062993-25-001525,2025-01,32
MSFT,2025-02-03,2025-01-31,4,0001062993-25-001526,2025-01,32
MSFT,2025-02-03,2025-01-31,4,0001062993-25-001527,2025-01,32
AAPL,2025-02-04,2025-02-01,4,0000320193-25-000022,2025-02,31
AAPL,2025-02-04,2025-02-01,4,0000320193-25-000021,2025-02,31
AAPL,2025-02-04,2025-02-01,4,0000320193-25-000020,2025-02,31
GOOGL,2025-02-03,2025-02-03,4,0000950170-25-012415,2025-02,29
GOOGL,2025-02-19,2025-02-18,4,0000950170-25-022825,2025-02,14
GOOGL,2025-02-19,2025-02-18,4,0000950170-25-022933,2025-02,14
GOOGL,2025-02-20,2025-02-18,4,0000950170-25-023879,2025-02,14
GOOGL,2025-02-21,2025-02-21,4,0000950170-25-025147,2025-02,11
GOOGL,2025-02-26,2025-02-25,4,0000950170-25-028107,2025-02,7
GOOGL,2025-02-26,2025-02-25,4,0000950170-25-028131,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000036,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000030,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000031,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000032,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000033,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000034,2025-02,7
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000035,2025-02,7
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004145,2025-02,4
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004146,2025-02,4
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004147,2025-02,4
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004149,2025-02,4
GOOGL,2025-02-28,2025-02-28,4,0000950170-25-029764,2025-02,4
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004143,2025-02,4
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004144,2025-02,4
GOOGL,2025-03-03,2025-03-03,4,0000950170-25-031172,2025-03,1
