ticker,filing_date,transaction_date,form_type,accession_number,year_month,days_since_filing,transaction_type,shares,price_per_share,total_value,BUY,SELL
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000036,2025-02,14,BUY,1000,150.0,150000.0,0,0
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000035,2025-02,14,SELL,2000,155.0,310000.0,0,0
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000034,2025-02,14,BUY,3000,160.0,480000.0,0,0
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000033,2025-02,14,SELL,4000,165.0,660000.0,0,0
AAPL,2025-02-27,2025-02-25,4,0000320193-25-000032,2025-02,14,BUY,5000,170.0,850000.0,0,0
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004149,2025-02,11,BUY,1000,150.0,150000.0,0,0
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004147,2025-02,11,SELL,2000,155.0,310000.0,0,0
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004146,2025-02,11,BUY,3000,160.0,480000.0,0,0
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004145,2025-02,11,SELL,4000,165.0,660000.0,0,0
MSFT,2025-03-03,2025-02-28,4,0001062993-25-004144,2025-02,11,BUY,5000,170.0,850000.0,0,0
GOOGL,2025-03-07,2025-03-03,4,0000950170-25-035576,2025-03,8,SELL,4000,165.0,660000.0,0,0
GOOGL,2025-03-07,2025-03-05,4,0000950170-25-035624,2025-03,6,BUY,1000,150.0,150000.0,0,0
GOOGL,2025-03-07,2025-03-05,4,0000950170-25-035608,2025-03,6,SELL,2000,155.0,310000.0,0,0
GOOGL,2025-03-07,2025-03-05,4,0000950170-25-035587,2025-03,6,BUY,3000,160.0,480000.0,0,0
GOOGL,2025-03-07,2025-03-05,4,0000950170-25-035540,2025-03,6,BUY,5000,170.0,850000.0,0,0
